,Has Author,Has Capture,Has Download Size,Has Download URL,Has Downloads,Has License,Has Logo,Has Name,Has Num Votes,Has OS,Has OS Details,Has Price,Has Project,Has Score Votes,Has Status,Has Summary,Has Topic,Has URL,Has Version,Has Warning,Has Warning Type,Supports ODF,Is Hosted in SC,Data de creació,Categories
Rebost:Internet Explorer per al Windows 7,Microsoft,,"22,800,000,2,077,392","http://www.microsoft.com/en-us/download/details.aspx?id=36804,http://download.microsoft.com/download/3/A/2/3A2B7E95-24EF-44F6-A092-C9CF4D1878D0/IE11-Windows6.1.exe","22,882",Programari gratuït,Fitxer:Internet Explorer 7 Logo.png,Internet Explorer per al Windows 7,31,Windows,,,,2516,Estable,"''(Podeu fer-ne la instal·lació automatitzada mitjançant el Catalanitzador de Softcatalà)''

L''''Internet Explorer 10 i 11 ''' incorporen les característiques estàndards dels navegadors de darrera generació, amb millores en la facilitat d'ús, compatibilitat de webs, velocitat de càrrega, seguretat i privacitat.

A diferència d'altres versions de l'IE, la descàrrega correspon al programa sencer i no és pas un paquet de llengua.

'''''Important:''' aquesta versió només serveix per…",Internet Navegadors,http://www.microsoft.cat,"10.0,11.0",,,,fals,29 gener 2012 19:28:45,
Rebost:Internet Explorer per al Windows Vista,Microsoft,Fitxer:Rebost IE Windows Vista.png,"19,100,000",http://www.microsoft.com/downloads/details.aspx?familyid=a47f45cd-8160-4d0d-b6cf-a90996be7197&displaylang=ca,"8,096",Programari gratuït,Fitxer:Internet Explorer 7 Logo.png,Internet Explorer per al Windows Vista,68,Windows,,,,2824,Estable,"L''''Internet Explorer 9.0 ''' és la darrera versió del navegador web de Microsoft. Incorpora les característiques estàndards dels navegadors de darrera generació, amb millores en la facilitat d'ús, compatibilitat de webs, velocitat de càrrega, seguretat i privacitat.

A diferència d'altres versions de l'IE, la descàrrega correspon al programa sencer i no és pas un paquet de llengua.

'''''Important:''' aquesta versió només serveix per al Windows…",Internet Navegadors,http://www.microsoft.cat,9.0,,,,fals,26 abril 2009 09:24:53,
Rebost:Internet Explorer per al Windows XP,Microsoft,Fitxer:Rebost IE Windows XP.png,"16,200,000",http://www.microsoft.com/downloads/details.aspx?FamilyID=341c2ad5-8c3d-4347-8c03-08cdecd8852b&displaylang=ca,"31,728",Programari gratuït,Fitxer:Internet Explorer 7 Logo.png,Internet Explorer per al Windows XP,110,Windows,,,,2882,Estable,"''(Podeu fer-ne la instal·lació automatitzada mitjançant el Catalanitzador de Softcatalà)''

L''''Internet Explorer 8.0 ''' és la darrera versió del navegador web de Microsoft. Incorpora les característiques estàndards dels navegadors de darrera generació, amb millores en la facilitat d'ús, compatibilitat de webs, velocitat de càrrega, seguretat i privacitat.

A diferència d'altres versions de l'IE, la descàrrega correspon al programa sencer i no és pas un paquet…",Internet Navegadors,http://www.microsoft.cat,8.0,,,,fals,26 abril 2009 08:52:17,
Rebost:Ircap,Ircap,,828,http://www.darkdeath.net/ircap/ZiP2007/IRcap-85.exe,"1,253",Programari gratuït,,Ircap,59,Windows,,,,2627,Estable,"L''''Ircap''' és una de les millors seqüències per al mIRC que  es poden trobar en català. L'aspecte de protecció està molt ben  cuidat, i convé destacar els detectors de missatges d'atac i ICMP, molt  útils per als usuaris novells. D'altra banda, la part estètica s'ha  tractat molt bé; la seva interfície gràfica és impressionant, amb un  sistema d'aparences que fa que el mIRC clàssic esdevengui una…",Internet Eines,http://www.ircap.net/,8.5,,,,fals,18 març 2008 20:49:18,
Rebost:IsoBuster,Smart Projects,Fitxer:Rebost isobuster.png,"4,363,928",http://www.smart-projects.net/dl.php?d,"1,497",Demostració comercial,Fitxer:Logo IsoBuster.gif,IsoBuster,60,Windows,,,,2867,Estable,"L''''IsoBuster''' s'ha dissenyat per recuperar dades des de CD i DVD mitjançant la utilització dels sistemes de fitxers més habituals dels CD/DVD: ISO9660, Joliet i UDF. Permet l'ús de molts formats de CD/DVD, amb una atenció especial als CD de vídeo, CD-i... És possible fer extraccions de sessions anteriors, crear fitxers d'imatge, reproduir àudio, etc. La comunicació amb els dispositius de CD/DVD és directa, i per…",Utilitats,http://www.smart-projects.net/,2.8.5,,,,fals,18 març 2008 21:00:32,
Rebost:JClic,Francesc Busquets,,"2,358,000,2,267,000","http://clic.xtec.cat/dist/jclic/jclic-0.2.1.0.exe,http://clic.xtec.cat/dist/jclic/jclic-0.2.1.0.zip","3,393",Programari lliure (GPL),Fitxer:Logo-Jclic.jpg,JClic,82,"Windows,Linux,OSX",,,,2683,Estable,"El '''JClic''' és un conjunt d'aplicacions informàtiques que serveixen per a realitzar diversos tipus d'activitats educatives: trencaclosques, associacions, exercicis de text, mots encreuats, etc.

Les activitats no s'acostumen a presentar soles, sinó empaquetades en projectes. Un projecte està format per un conjunt d'activitats i una o més seqüències, que indiquen l'ordre en què s'han de mostrar.

L'antecessor del JClic és el Clic, una aplicació que des…",Educació/Ciència,http://clic.xtec.net/ca/jclic/index.htm,0.2.1.0,,,,fals,18 març 2008 21:01:10,
Rebost:JDownloader,App Work GmbH,Fitxer:Captura-JDownloader.png,"1,036,411,24,411,136","http://installer.jdownloader.org/WebInstaller.exe,http://descargar.cnet.com/JDownloader/3000-2071_4-75707555.html,http://installer.jdownloader.org/jd_unix_0_9.sh",937,GPL,Fitxer:Jdownloader-logo.png,JDownloader,5,"Windows,Linux,OSX",chmod +x jd_unix_0_9.sh,0 €,,4,Estable,"El '''JDownloader''' és un gestor de baixades multiplataforma, programat en Java, de codi lliure i gratuït, amb una gran comunitat de desenvolupadors, que fa que els baixades siguin fàcils i ràpides. Els seu disseny simplifica les baixades de servidors de baixades tipus Rapidshare, també per als usuaris sense compte de pagament.

Els usuaris poden iniciar o aturar les baixades, establir limitacions d'ample de banda, descomprimir automàticament…",Internet Eines,http://jdownloader.org/,"0.9581,{{{Versió}}}",,,,fals,7 octubre 2013 07:55:30,
Rebost:Jmol,Grup de desenvolupament del Jmol,Fitxer:Rebost Jmol.png,,http://sourceforge.net/projects/jmol/files/Jmol/Version%2012.0/,"1,976",Programari lliure (LGPL),Fitxer:Logo Jmol.png,Jmol,62,"Windows,Linux,OSX",,,,2645,Estable,"El '''Jmol''' és un visualitzador molecular d'ús habitual en química i bioquímica. Està escrit en Java, és multiplataforma, i també pot utilitzar-se en pàgines web, des d'on pot executar-se amb un navegador sempre que el connector de Java estigui correctament instal·lat.

Implementa gran nombre de representacions de les molècules (boles i bastons, esferes, cadenes, etc.) i llegeix diferents formats de fitxers amb informació molecular (PDB…",Educació/Ciència,http://jmol.sourceforge.net/,12.0,,,,fals,12 agost 2008 10:53:54,
Rebost:Joc del Màrius Gros,"TERMCAT, Centre de Terminologia",Fitxer:MariusGros Portada.jpg,,http://www.termcat.cat/docs/MariusGros,"1,253",,Fitxer:MariusGros 70x70.gif,Joc del Màrius Gros,49,Web,,,,2653,Estable,"El '''Joc del Màrius Gros''' conté la '''Guerra de les Bombolles''', on en Màrius vola per l'espai entre termes catalans i anglesos i ha d'esquivar els catalans i encerclar els anglesos amb una bombolla, i l''''Endoll Contraataca''', on en Màrius ha d'endollar el terme anglès proposat a l'alternativa catalana adequada.…",Jocs,http://www.termcat.cat/Jocs/MariusGros,1.0,,,,fals,29 abril 2010 10:55:32,
Rebost:Jocs de Ritmes Cat,Ritmes.cat,Fitxer:Captura-ritmes.cat.png,,http://www.ritmes.cat/jocs,514,Copyright,Fitxer:LogoRitmes.cat.gif,Jocs de Ritmes Cat,37,Web,,,,2324,Estable,"'''Ritmes.cat''' és un web de música amb una col·leció de diversos jocs per a jugar des d'Internet. 

Per a jugar-hi és necessari està connectat a Internet i tenir instal·lat el Flash.

Alguns dels jocs són els següents:
'''2010 vs vintage''': Encistella les 18 portades de discos que et proposen. Els millors treballs del 2010 contra les peces vintage - que mai caduquen-. Afina la punteria…",Jocs,http://www.ritmes.cat/jocs,1.0,,,,fals,8 juliol 2009 07:50:29,
Rebost:Jocs de la Generalitat,Generalitat de Catalunya,Fitxer:LogoGeneralitat.gif,,,"3,431",Copyright,Fitxer:LogoGeneralitat.gif,Jocs de la Generalitat,67,,,,,2.06,,"Des del web '''Patrimoni.gencat''' de la '''Generalitat de Catalunya''' trobareu tot un seguit de jocs culturals per jugar des del navegador web. 

Per a jugar-hi és necessari està connectat a Internet i tenir instaŀlat '''Flash'''.

Alguns dels jocs són els següents:

Pompeu Fabra: Encerta les preguntes que et farà en Pompeu Fabra.

Per jugar de dos en dos!: fes memòria amb els joguets del…",Jocs,http://patrimoni.gencat.cat,,,,,,25 abril 2010 15:36:17,
Rebost:Jocs del Cavall Fort,Cavall Fort,Fitxer:Cavallfort memo.png,,,451,Copyright,Fitxer:Logo cavallfort.gif,Jocs del Cavall Fort,40,,,,,2425,,"'''Cavall Fort''' és un web amb una col·leció de 3 jocs per a jugar des d'Internet. 

Per a jugar-hi és necessari està connectat a Internet i tenir instaŀlat '''Flash'''.

Els jocs són els següents:

Joc de la memòria. Posa a prova la teva memòria i troba les parelles dels personatges del Cavall Fort en 4 minuts.

El trencaclosques d'El Tatano. Un clic! i la portada d'El…",Jocs,http://www.cavallfort.cat,,,,,,8 juliol 2009 07:00:42,
Rebost:Jocs del Caçador de bolets,TV3,Fitxer:Captura-Cacadors de bolets.png,,,0,Copyright,Fitxer:Logo-Caçadors de bolets.png,Jocs del Caçador de bolets,52,,,,,2846,,"'''Caçadors de bolets''' és un programa de TV3 amb un web en qual hi ha una col·leció de 3 jocs per a jugar des d'Internet. 

Per a jugar-hi és necessari està connectat a Internet i tenir instaŀlat '''Flash'''.

Els jocs són els següents:

Parelles Cerca les parelles amb el programa ""caçadors de bolets""

Memoràlia Caçadors de bolets Quants tipus de bolets ets capaç de reconèixer?

Pacman…",Jocs,http://www.tv3.cat/bolets/jocs.html,,,,,,8 juliol 2009 09:03:17,
Rebost:Jocs del Polònia,TV3,Fitxer:Captura-Polonia.png,,http://www.tv3.cat/polonia/jocs.htm,662,Copyright,Fitxer:Logo-Polonia.png,Jocs del Polònia,52,Web,,,,2885,Estable,"Els '''Jocs del Polònia''' és un conjunt de 9 jocs per jugar a través d'Internet que es troben al web del popular programa de TVC '''Polònia'''.

Per a jugar-hi és necessari estar connectat a Internet i tenir instal·lat el '''Flash'''.

Els jocs que hi trobareu són els següents:
'''Ral·li del Polònia''': Completa el circuit per terres catalanes.
'''El millor cuiner del món''': Ajuda al Ferràn Adrià…",Jocs,http://www.tv3.cat/polonia/,1.0,,,,fals,8 juliol 2009 09:19:02,
